,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
The Sort & Filter Function allows for filtering data ,,,,,,,,,,,,
Data Sources:,,,,,,DFA 256,DFA 256,MEDS,CF 296,"DFA 296X prior to July 2016, then CF 296 ",Federal SNAPQCS,RADEP
,,,,,,,,,,,,
County,Consortium,Month,Calendar_Year,FFY,SFY,CF_HHs,CF_Persons,MC_Enrollment,Timeliness_30_day_Pct,Timeliness_Exped_Pct_Monthly,Negative_Error_Rate,Active_Error_Rate
17 Lake,C-IV,May,2012.0,2012.0,2011/12,5027.0,10096.0,,0.9882,,,0.0464
18 Lassen,C-IV,May,2012.0,2012.0,2011/12,1410.0,2971.0,,1.0,,,0.0464
19 Los Angeles,LRS,May,2012.0,2012.0,2011/12,498379.0,1064706.0,,0.9773,,,0.0466
20 Madera,C-IV,May,2012.0,2012.0,2011/12,10610.0,27007.0,,0.982,,,0.0464
21 Marin,C-IV,May,2012.0,2012.0,2011/12,5480.0,9245.0,,0.9789,,,0.0464
22 Mariposa,C-IV,May,2012.0,2012.0,2011/12,884.0,1815.0,,0.8772,,,0.0464
23 Mendocino,C-IV,May,2012.0,2012.0,2011/12,7084.0,13412.0,,0.9944,,,0.0464
24 Merced,C-IV,May,2012.0,2012.0,2011/12,21783.0,53737.0,,0.9938,,,0.0268
25 Modoc,C-IV,May,2012.0,2012.0,2011/12,452.0,1059.0,,1.0,,,0.0464
26 Mono,C-IV,May,2012.0,2012.0,2011/12,462.0,723.0,,0.9885,,,0.0464
27 Monterey,C-IV,May,2012.0,2012.0,2011/12,20180.0,46749.0,,1.0,,,0.0124
28 Napa,C-IV,May,2012.0,2012.0,2011/12,3445.0,7320.0,,0.9953,,,0.0464
29 Nevada,C-IV,May,2012.0,2012.0,2011/12,3578.0,6955.0,,1.0,,,0.0464
30 Orange,CalWIN,May,2012.0,2012.0,2011/12,95772.0,215080.0,,0.9991,,,0.0157
31 Placer,CalWIN,May,2012.0,2012.0,2011/12,8165.0,18031.0,,0.9927,,,0.0464
32 Plumas,C-IV,May,2012.0,2012.0,2011/12,745.0,1675.0,,0.8788,,,0.0464
33 Riverside,C-IV,May,2012.0,2012.0,2011/12,106521.0,262634.0,,0.9999,,,0.032
34 Sacramento,CalWIN,May,2012.0,2012.0,2011/12,89486.0,202173.0,,0.99,,,0.0317
35 San Benito,C-IV,May,2012.0,2012.0,2011/12,2651.0,6186.0,,1.0,,,0.0464
36 San Bernardino,C-IV,May,2012.0,2012.0,2011/12,147561.0,353538.0,,0.9993,,,0.0212
37 San Diego,CalWIN,May,2012.0,2012.0,2011/12,110081.0,243693.0,,0.9843,,,0.0776
38 San Francisco,CalWIN,May,2012.0,2012.0,2011/12,33109.0,51309.0,,0.9916,,,0.0367
39 San Joaquin,C-IV,May,2012.0,2012.0,2011/12,43460.0,107138.0,,0.9769,,,0.0337
40 San Luis Obispo,CalWIN,May,2012.0,2012.0,2011/12,8972.0,17564.0,,0.9784,,,0.0464
41 San Mateo,CalWIN,May,2012.0,2012.0,2011/12,13356.0,27740.0,,0.9453,,,0.0464
42 Santa Barbara,CalWIN,May,2012.0,2012.0,2011/12,14834.0,33549.0,,0.9632,,,0.0464
43 Santa Clara,CalWIN,May,2012.0,2012.0,2011/12,48361.0,104260.0,,0.7723,,,0.0055
44 Santa Cruz,CalWIN,May,2012.0,2012.0,2011/12,11338.0,22330.0,,0.9375,,,0.0464
45 Shasta,C-IV,May,2012.0,2012.0,2011/12,12425.0,24940.0,,0.9725,,,0.0464
46 Sierra,C-IV,May,2012.0,2012.0,2011/12,141.0,278.0,,1.0,,,0.0464
47 Siskiyou,C-IV,May,2012.0,2012.0,2011/12,2701.0,6124.0,,0.9934,,,0.0464
48 Solano,CalWIN,May,2012.0,2012.0,2011/12,19645.0,39814.0,,0.9444,,,0.015
49 Sonoma,CalWIN,May,2012.0,2012.0,2011/12,18000.0,33816.0,,0.9148,,,0.0464
50 Stanislaus,C-IV,May,2012.0,2012.0,2011/12,39268.0,87664.0,,1.0,,,0.0294
51 Sutter,C-IV,May,2012.0,2012.0,2011/12,4953.0,12073.0,,0.9681,,,0.0464
52 Tehama,C-IV,May,2012.0,2012.0,2011/12,4149.0,9775.0,,0.8793,,,0.0464
53 Trinity,C-IV,May,2012.0,2012.0,2011/12,751.0,1526.0,,0.9818,,,0.0464
54 Tulare,CalWIN,May,2012.0,2012.0,2011/12,44406.0,110227.0,,1.0,,,0.0175
55 Tuolumne,C-IV,May,2012.0,2012.0,2011/12,2738.0,5124.0,,0.9892,,,0.0464
56 Ventura,CalWIN,May,2012.0,2012.0,2011/12,31299.0,64965.0,,0.9873,,,0.0194
57 Yolo,CalWIN,May,2012.0,2012.0,2011/12,7718.0,16948.0,,0.9299,,,0.0464
58 Yuba,C-IV,May,2012.0,2012.0,2011/12,5738.0,12967.0,,1.0,,,0.0464
00 National Avg*,n/a,June,2012.0,2012.0,2011/12,,,,,,0.254,0.054
00 Statewide,n/a,June,2012.0,2012.0,2011/12,1820349.0,4052056.0,,0.9782,,,0.0403
01 Alameda,CalWIN,June,2012.0,2012.0,2011/12,61515.0,123937.0,,0.9279,,,0.0134
02 Alpine,C-IV,June,2012.0,2012.0,2011/12,83.0,147.0,,1.0,,,0.0482
03 Amador,C-IV,June,2012.0,2012.0,2011/12,1719.0,3282.0,,0.9444,,,0.0482
04 Butte,C-IV,June,2012.0,2012.0,2011/12,13938.0,29104.0,,0.8734,,,0.0482
05 Calaveras,C-IV,June,2012.0,2012.0,2011/12,2542.0,5021.0,,1.0,,,0.0482
06 Colusa,C-IV,June,2012.0,2012.0,2011/12,712.0,1789.0,,0.9512,,,0.0482
07 Contra Costa,CalWIN,June,2012.0,2012.0,2011/12,32791.0,68786.0,,0.979,,,0.0376
08 Del Norte,C-IV,June,2012.0,2012.0,2011/12,2669.0,5533.0,,1.0,,,0.0482
09 El Dorado,C-IV,June,2012.0,2012.0,2011/12,6188.0,11814.0,,1.0,,,0.0482
10 Fresno,CalWIN,June,2012.0,2012.0,2011/12,88760.0,215640.0,,1.0,,,0.0177
11 Glenn,C-IV,June,2012.0,2012.0,2011/12,1390.0,3448.0,,1.0,,,0.0482
12 Humboldt,C-IV,June,2012.0,2012.0,2011/12,8057.0,15374.0,,0.9614,,,0.0482
13 Imperial,C-IV,June,2012.0,2012.0,2011/12,13993.0,35889.0,,1.0,,,0.0482
14 Inyo,C-IV,June,2012.0,2012.0,2011/12,953.0,1934.0,,1.0,,,0.0482
15 Kern,C-IV,June,2012.0,2012.0,2011/12,57572.0,140424.0,,0.9891,,,0.0384
16 Kings,C-IV,June,2012.0,2012.0,2011/12,9655.0,23179.0,,1.0,,,0.0482
17 Lake,C-IV,June,2012.0,2012.0,2011/12,5081.0,10185.0,,0.937,,,0.0482
18 Lassen,C-IV,June,2012.0,2012.0,2011/12,1403.0,2976.0,,1.0,,,0.0482
19 Los Angeles,LRS,June,2012.0,2012.0,2011/12,505742.0,1076806.0,,0.9817,,,0.0524
20 Madera,C-IV,June,2012.0,2012.0,2011/12,10586.0,26964.0,,0.9735,,,0.0482
21 Marin,C-IV,June,2012.0,2012.0,2011/12,5546.0,9354.0,,0.9948,,,0.0482
22 Mariposa,C-IV,June,2012.0,2012.0,2011/12,896.0,1832.0,,0.9375,,,0.0482
23 Mendocino,C-IV,June,2012.0,2012.0,2011/12,7140.0,13501.0,,0.9957,,,0.0482
24 Merced,C-IV,June,2012.0,2012.0,2011/12,22030.0,54108.0,,0.9897,,,0.0231
25 Modoc,C-IV,June,2012.0,2012.0,2011/12,442.0,1030.0,,1.0,,,0.0482
26 Mono,C-IV,June,2012.0,2012.0,2011/12,464.0,728.0,,0.9063,,,0.0482
27 Monterey,C-IV,June,2012.0,2012.0,2011/12,19808.0,45809.0,,1.0,,,0.0115
28 Napa,C-IV,June,2012.0,2012.0,2011/12,3470.0,7362.0,,0.9798,,,0.0482
29 Nevada,C-IV,June,2012.0,2012.0,2011/12,3637.0,7046.0,,1.0,,,0.0482
30 Orange,CalWIN,June,2012.0,2012.0,2011/12,96688.0,217206.0,,0.9983,,,0.0147
31 Placer,CalWIN,June,2012.0,2012.0,2011/12,8193.0,17944.0,,0.9761,,,0.0482
32 Plumas,C-IV,June,2012.0,2012.0,2011/12,753.0,1657.0,,0.9167,,,0.0482
33 Riverside,C-IV,June,2012.0,2012.0,2011/12,107378.0,264035.0,,0.9992,,,0.0298
34 Sacramento,CalWIN,June,2012.0,2012.0,2011/12,89961.0,203416.0,,0.9921,,,0.0275
35 San Benito,C-IV,June,2012.0,2012.0,2011/12,2639.0,6202.0,,0.9928,,,0.0482
36 San Bernardino,C-IV,June,2012.0,2012.0,2011/12,149831.0,358011.0,,0.9993,,,0.0218
37 San Diego,CalWIN,June,2012.0,2012.0,2011/12,111241.0,246109.0,,0.9738,,,0.0718
38 San Francisco,CalWIN,June,2012.0,2012.0,2011/12,33057.0,51216.0,,0.9936,,,0.0379
39 San Joaquin,C-IV,June,2012.0,2012.0,2011/12,43705.0,107575.0,,0.9776,,,0.0379
40 San Luis Obispo,CalWIN,June,2012.0,2012.0,2011/12,8976.0,17552.0,,0.9727,,,0.0482
41 San Mateo,CalWIN,June,2012.0,2012.0,2011/12,13479.0,27963.0,,0.9344,,,0.0482
42 Santa Barbara,CalWIN,June,2012.0,2012.0,2011/12,14519.0,32888.0,,0.965,,,0.0482
43 Santa Clara,CalWIN,June,2012.0,2012.0,2011/12,49287.0,106083.0,,0.7793,,,0.0068
44 Santa Cruz,CalWIN,June,2012.0,2012.0,2011/12,11311.0,22431.0,,0.9548,,,0.0482
45 Shasta,C-IV,June,2012.0,2012.0,2011/12,12592.0,25228.0,,0.972,,,0.0482
46 Sierra,C-IV,June,2012.0,2012.0,2011/12,154.0,293.0,,1.0,,,0.0482
47 Siskiyou,C-IV,June,2012.0,2012.0,2011/12,2714.0,6116.0,,1.0,,,0.0482
48 Solano,CalWIN,June,2012.0,2012.0,2011/12,19758.0,40092.0,,0.9451,,,0.0148
49 Sonoma,CalWIN,June,2012.0,2012.0,2011/12,18192.0,34158.0,,0.9132,,,0.0482
50 Stanislaus,C-IV,June,2012.0,2012.0,2011/12,39645.0,88475.0,,1.0,,,0.0257
51 Sutter,C-IV,June,2012.0,2012.0,2011/12,4959.0,12043.0,,0.95,,,0.0482
52 Tehama,C-IV,June,2012.0,2012.0,2011/12,4216.0,9912.0,,0.9014,,,0.0482
53 Trinity,C-IV,June,2012.0,2012.0,2011/12,771.0,1558.0,,1.0,,,0.0482
54 Tulare,CalWIN,June,2012.0,2012.0,2011/12,44609.0,110829.0,,1.0,,,0.0162
55 Tuolumne,C-IV,June,2012.0,2012.0,2011/12,2767.0,5180.0,,0.9647,,,0.0482
56 Ventura,CalWIN,June,2012.0,2012.0,2011/12,26641.0,64825.0,,0.9905,,,0.0192
57 Yolo,CalWIN,June,2012.0,2012.0,2011/12,7752.0,16992.0,,0.8903,,,0.0482
58 Yuba,C-IV,June,2012.0,2012.0,2011/12,5779.0,13065.0,,1.0,,,0.0482
00 National Avg*,n/a,July,2012.0,2012.0,2012/13,,,,,,0.254,0.054
00 Statewide,n/a,July,2012.0,2012.0,2012/13,1843348.0,4074650.0,,0.9766,,,0.0363
01 Alameda,CalWIN,July,2012.0,2012.0,2012/13,62045.0,124622.0,,0.9109,,,0.0114
02 Alpine,C-IV,July,2012.0,2012.0,2012/13,84.0,147.0,,1.0,,,0.0414
03 Amador,C-IV,July,2012.0,2012.0,2012/13,1717.0,3287.0,,0.9562,,,0.0414
04 Butte,C-IV,July,2012.0,2012.0,2012/13,13988.0,29226.0,,0.8948,,,0.0414
05 Calaveras,C-IV,July,2012.0,2012.0,2012/13,2522.0,4998.0,,1.0,,,0.0414
06 Colusa,C-IV,July,2012.0,2012.0,2012/13,701.0,1728.0,,0.9375,,,0.0414
07 Contra Costa,CalWIN,July,2012.0,2012.0,2012/13,32977.0,68789.0,,0.9652,,,0.0323
08 Del Norte,C-IV,July,2012.0,2012.0,2012/13,2629.0,5445.0,,1.0,,,0.0414
09 El Dorado,C-IV,July,2012.0,2012.0,2012/13,6081.0,11620.0,,1.0,,,0.0414
10 Fresno,CalWIN,July,2012.0,2012.0,2012/13,88850.0,215016.0,,0.9677,,,0.0162
11 Glenn,C-IV,July,2012.0,2012.0,2012/13,1389.0,3419.0,,1.0,,,0.0414
12 Humboldt,C-IV,July,2012.0,2012.0,2012/13,8114.0,15495.0,,0.9788,,,0.0414
13 Imperial,C-IV,July,2012.0,2012.0,2012/13,14037.0,36091.0,,1.0,,,0.0414
14 Inyo,C-IV,July,2012.0,2012.0,2012/13,957.0,1951.0,,1.0,,,0.0414
15 Kern,C-IV,July,2012.0,2012.0,2012/13,57915.0,140798.0,,0.9895,,,0.0351
16 Kings,C-IV,July,2012.0,2012.0,2012/13,9624.0,22949.0,,0.9962,,,0.0414
17 Lake,C-IV,July,2012.0,2012.0,2012/13,5041.0,10039.0,,0.9554,,,0.0414
18 Lassen,C-IV,July,2012.0,2012.0,2012/13,1386.0,2933.0,,0.9573,,,0.0414
19 Los Angeles,LRS,July,2012.0,2012.0,2012/13,516984.0,1093422.0,,0.9774,,,0.0462
20 Madera,C-IV,July,2012.0,2012.0,2012/13,10437.0,26670.0,,0.9914,,,0.0414
21 Marin,C-IV,July,2012.0,2012.0,2012/13,5541.0,9408.0,,0.9942,,,0.0414
22 Mariposa,C-IV,July,2012.0,2012.0,2012/13,875.0,1804.0,,1.0,,,0.0414
23 Mendocino,C-IV,July,2012.0,2012.0,2012/13,7242.0,13660.0,,0.9912,,,0.0414
24 Merced,C-IV,July,2012.0,2012.0,2012/13,22003.0,53940.0,,0.9974,,,0.0207
25 Modoc,C-IV,July,2012.0,2012.0,2012/13,438.0,997.0,,0.9545,,,0.0414
26 Mono,C-IV,July,2012.0,2012.0,2012/13,447.0,709.0,,0.9091,,,0.0414
27 Monterey,C-IV,July,2012.0,2012.0,2012/13,19325.0,44518.0,,1.0,,,0.0129
28 Napa,C-IV,July,2012.0,2012.0,2012/13,3452.0,7287.0,,0.9952,,,0.0414
29 Nevada,C-IV,July,2012.0,2012.0,2012/13,3667.0,7105.0,,1.0,,,0.0414
30 Orange,CalWIN,July,2012.0,2012.0,2012/13,97956.0,218827.0,,0.9985,,,0.0167
31 Placer,CalWIN,July,2012.0,2012.0,2012/13,8227.0,17815.0,,0.9664,,,0.0414
32 Plumas,C-IV,July,2012.0,2012.0,2012/13,756.0,1654.0,,0.9474,,,0.0414
33 Riverside,C-IV,July,2012.0,2012.0,2012/13,109234.0,267997.0,,0.9996,,,0.03
34 Sacramento,CalWIN,July,2012.0,2012.0,2012/13,90856.0,204104.0,,0.9698,,,0.0284
35 San Benito,C-IV,July,2012.0,2012.0,2012/13,2609.0,6114.0,,0.9873,,,0.0414
36 San Bernardino,C-IV,July,2012.0,2012.0,2012/13,151637.0,361404.0,,0.9994,,,0.0201
37 San Diego,CalWIN,July,2012.0,2012.0,2012/13,112361.0,246971.0,,0.9718,,,0.0723
38 San Francisco,CalWIN,July,2012.0,2012.0,2012/13,32910.0,50894.0,,0.9763,,,0.0341
39 San Joaquin,C-IV,July,2012.0,2012.0,2012/13,43790.0,107532.0,,0.9815,,,0.0347
40 San Luis Obispo,CalWIN,July,2012.0,2012.0,2012/13,8899.0,17269.0,,0.9745,,,0.0414
41 San Mateo,CalWIN,July,2012.0,2012.0,2012/13,13612.0,28106.0,,0.9523,,,0.0414
42 Santa Barbara,CalWIN,July,2012.0,2012.0,2012/13,14197.0,32030.0,,0.9601,,,0.0414
43 Santa Clara,CalWIN,July,2012.0,2012.0,2012/13,49038.0,105676.0,,0.8087,,,0.0086
44 Santa Cruz,CalWIN,July,2012.0,2012.0,2012/13,10984.0,22390.0,,0.9625,,,0.0414
45 Shasta,C-IV,July,2012.0,2012.0,2012/13,12445.0,25025.0,,0.9788,,,0.0414
46 Sierra,C-IV,July,2012.0,2012.0,2012/13,156.0,302.0,,1.0,,,0.0414
47 Siskiyou,C-IV,July,2012.0,2012.0,2012/13,2719.0,6100.0,,1.0,,,0.0414
48 Solano,CalWIN,July,2012.0,2012.0,2012/13,19954.0,40161.0,,0.9349,,,0.0144
49 Sonoma,CalWIN,July,2012.0,2012.0,2012/13,18390.0,34447.0,,0.8992,,,0.0414
50 Stanislaus,C-IV,July,2012.0,2012.0,2012/13,40036.0,88848.0,,0.9996,,,0.0273
51 Sutter,C-IV,July,2012.0,2012.0,2012/13,4961.0,11946.0,,0.9511,,,0.0414
52 Tehama,C-IV,July,2012.0,2012.0,2012/13,4219.0,9899.0,,0.9129,,,0.0414
53 Trinity,C-IV,July,2012.0,2012.0,2012/13,776.0,1557.0,,0.9792,,,0.0414
54 Tulare,CalWIN,July,2012.0,2012.0,2012/13,44577.0,110086.0,,1.0,,,0.0212
55 Tuolumne,C-IV,July,2012.0,2012.0,2012/13,2755.0,5103.0,,0.9784,,,0.0414
56 Ventura,CalWIN,July,2012.0,2012.0,2012/13,31284.0,64382.0,,0.987,,,0.0183
57 Yolo,CalWIN,July,2012.0,2012.0,2012/13,7766.0,16880.0,,0.8733,,,0.0414
58 Yuba,C-IV,July,2012.0,2012.0,2012/13,5776.0,13058.0,,1.0,,,0.0414
00 National Avg*,n/a,August,2012.0,2012.0,2012/13,,,,,,0.254,0.054
00 Statewide,n/a,August,2012.0,2012.0,2012/13,1860414.0,4102934.0,,0.9762,,,0.036
01 Alameda,CalWIN,August,2012.0,2012.0,2012/13,62555.0,125468.0,,0.9066,,,0.0137
02 Alpine,C-IV,August,2012.0,2012.0,2012/13,80.0,142.0,,1.0,,,0.0527
03 Amador,C-IV,August,2012.0,2012.0,2012/13,1717.0,3287.0,,0.9701,,,0.0527
04 Butte,C-IV,August,2012.0,2012.0,2012/13,14138.0,29551.0,,0.9046,,,0.0527
05 Calaveras,C-IV,August,2012.0,2012.0,2012/13,2518.0,5007.0,,0.9809,,,0.0527
06 Colusa,C-IV,August,2012.0,2012.0,2012/13,669.0,1661.0,,1.0,,,0.0527
07 Contra Costa,CalWIN,August,2012.0,2012.0,2012/13,33263.0,69279.0,,0.9637,,,0.0312
08 Del Norte,C-IV,August,2012.0,2012.0,2012/13,2612.0,5394.0,,1.0,,,0.0527
09 El Dorado,C-IV,August,2012.0,2012.0,2012/13,6124.0,11702.0,,1.0,,,0.0527
10 Fresno,CalWIN,August,2012.0,2012.0,2012/13,89116.0,215482.0,,0.9757,,,0.0149
11 Glenn,C-IV,August,2012.0,2012.0,2012/13,1406.0,3464.0,,1.0,,,0.0527
12 Humboldt,C-IV,August,2012.0,2012.0,2012/13,8139.0,15566.0,,0.9809,,,0.0527
13 Imperial,C-IV,August,2012.0,2012.0,2012/13,14277.0,36706.0,,1.0,,,0.0527
14 Inyo,C-IV,August,2012.0,2012.0,2012/13,973.0,1947.0,,1.0,,,0.0527
15 Kern,C-IV,August,2012.0,2012.0,2012/13,58169.0,140863.0,,0.9911,,,0.0335
16 Kings,C-IV,August,2012.0,2012.0,2012/13,9603.0,22770.0,,0.9984,,,0.0527
17 Lake,C-IV,August,2012.0,2012.0,2012/13,5105.0,10163.0,,0.9443,,,0.0527
18 Lassen,C-IV,August,2012.0,2012.0,2012/13,1418.0,2965.0,,0.9613,,,0.0527
19 Los Angeles,LRS,August,2012.0,2012.0,2012/13,524410.0,1104054.0,,0.9772,,,0.0404
20 Madera,C-IV,August,2012.0,2012.0,2012/13,10373.0,26485.0,,0.9934,,,0.0527
21 Marin,C-IV,August,2012.0,2012.0,2012/13,5627.0,9516.0,,0.9952,,,0.0527
22 Mariposa,C-IV,August,2012.0,2012.0,2012/13,866.0,1776.0,,0.9091,,,0.0527
23 Mendocino,C-IV,August,2012.0,2012.0,2012/13,7152.0,13585.0,,0.9978,,,0.0527
24 Merced,C-IV,August,2012.0,2012.0,2012/13,21946.0,53768.0,,0.9977,,,0.0183
25 Modoc,C-IV,August,2012.0,2012.0,2012/13,426.0,977.0,,1.0,,,0.0527
26 Mono,C-IV,August,2012.0,2012.0,2012/13,398.0,649.0,,0.9565,,,0.0527
27 Monterey,C-IV,August,2012.0,2012.0,2012/13,18884.0,43212.0,,1.0,,,0.0177
28 Napa,C-IV,August,2012.0,2012.0,2012/13,3451.0,7306.0,,1.0,,,0.0527
29 Nevada,C-IV,August,2012.0,2012.0,2012/13,3740.0,7207.0,,1.0,,,0.0527
30 Orange,CalWIN,August,2012.0,2012.0,2012/13,98746.0,220769.0,,0.9982,,,0.0154
31 Placer,CalWIN,August,2012.0,2012.0,2012/13,8204.0,17909.0,,0.9928,,,0.0527
32 Plumas,C-IV,August,2012.0,2012.0,2012/13,741.0,1607.0,,0.8,,,0.0527
33 Riverside,C-IV,August,2012.0,2012.0,2012/13,111099.0,272134.0,,0.9995,,,0.0323
34 Sacramento,CalWIN,August,2012.0,2012.0,2012/13,91580.0,205500.0,,0.9838,,,0.0258
35 San Benito,C-IV,August,2012.0,2012.0,2012/13,2595.0,6117.0,,0.994,,,0.0527
36 San Bernardino,C-IV,August,2012.0,2012.0,2012/13,153893.0,365866.0,,0.9989,,,0.0181
37 San Diego,CalWIN,August,2012.0,2012.0,2012/13,113489.0,249684.0,,0.9755,,,0.0702
38 San Francisco,CalWIN,August,2012.0,2012.0,2012/13,32841.0,50933.0,,0.9868,,,0.0332
39 San Joaquin,C-IV,August,2012.0,2012.0,2012/13,44107.0,108183.0,,0.9782,,,0.0324
40 San Luis Obispo,CalWIN,August,2012.0,2012.0,2012/13,8927.0,17347.0,,0.95,,,0.0527
41 San Mateo,CalWIN,August,2012.0,2012.0,2012/13,13763.0,28401.0,,0.9652,,,0.0527
42 Santa Barbara,CalWIN,August,2012.0,2012.0,2012/13,13975.0,31461.0,,0.9398,,,0.0527
43 Santa Clara,CalWIN,August,2012.0,2012.0,2012/13,49436.0,106330.0,,0.7423,,,0.0079
44 Santa Cruz,CalWIN,August,2012.0,2012.0,2012/13,11085.0,21747.0,,0.9538,,,0.0527
45 Shasta,C-IV,August,2012.0,2012.0,2012/13,12488.0,25041.0,,0.981,,,0.0527
46 Sierra,C-IV,August,2012.0,2012.0,2012/13,161.0,320.0,,1.0,,,0.0527
47 Siskiyou,C-IV,August,2012.0,2012.0,2012/13,2760.0,6152.0,,1.0,,,0.0527
48 Solano,CalWIN,August,2012.0,2012.0,2012/13,20234.0,40547.0,,0.946,,,0.0138
49 Sonoma,CalWIN,August,2012.0,2012.0,2012/13,18538.0,34559.0,,0.9397,,,0.0527
50 Stanislaus,C-IV,August,2012.0,2012.0,2012/13,40192.0,89039.0,,0.9996,,,0.0245
51 Sutter,C-IV,August,2012.0,2012.0,2012/13,4944.0,11872.0,,0.9685,,,0.0527
52 Tehama,C-IV,August,2012.0,2012.0,2012/13,4232.0,9952.0,,0.9182,,,0.0527
53 Trinity,C-IV,August,2012.0,2012.0,2012/13,794.0,1577.0,,1.0,,,0.0527
54 Tulare,CalWIN,August,2012.0,2012.0,2012/13,44742.0,110073.0,,1.0,,,0.0189
55 Tuolumne,C-IV,August,2012.0,2012.0,2012/13,2740.0,5091.0,,0.9677,,,0.0527
56 Ventura,CalWIN,August,2012.0,2012.0,2012/13,31392.0,64911.0,,0.9828,,,0.0165
57 Yolo,CalWIN,August,2012.0,2012.0,2012/13,7799.0,16828.0,,0.9069,,,0.0527
58 Yuba,C-IV,August,2012.0,2012.0,2012/13,5762.0,13032.0,,0.9944,,,0.0527
00 National Avg*,n/a,September,2012.0,2012.0,2012/13,,,,,,0.254,0.054
00 Statewide,n/a,September,2012.0,2012.0,2012/13,1865844.0,4114954.0,,0.9777,,,0.0364
01 Alameda,CalWIN,September,2012.0,2012.0,2012/13,62419.0,125584.0,,0.9097,,,0.0158
02 Alpine,C-IV,September,2012.0,2012.0,2012/13,77.0,142.0,,1.0,,,0.0545
03 Amador,C-IV,September,2012.0,2012.0,2012/13,1722.0,3329.0,,0.9402,,,0.0545
04 Butte,C-IV,September,2012.0,2012.0,2012/13,14141.0,29643.0,,0.9154,,,0.0545
05 Calaveras,C-IV,September,2012.0,2012.0,2012/13,2506.0,4989.0,,0.9779,,,0.0545
06 Colusa,C-IV,September,2012.0,2012.0,2012/13,654.0,1627.0,,1.0,,,0.0545
07 Contra Costa,CalWIN,September,2012.0,2012.0,2012/13,33342.0,69471.0,,0.9382,,,0.0356
08 Del Norte,C-IV,September,2012.0,2012.0,2012/13,2582.0,5320.0,,1.0,,,0.0545
09 El Dorado,C-IV,September,2012.0,2012.0,2012/13,6115.0,11631.0,,1.0,,,0.0545
10 Fresno,CalWIN,September,2012.0,2012.0,2012/13,88912.0,215194.0,,0.981,,,0.0145
11 Glenn,C-IV,September,2012.0,2012.0,2012/13,1385.0,3438.0,,1.0,,,0.0545
12 Humboldt,C-IV,September,2012.0,2012.0,2012/13,8190.0,15554.0,,0.9738,,,0.0545
13 Imperial,C-IV,September,2012.0,2012.0,2012/13,14334.0,36946.0,,0.9971,,,0.0545
14 Inyo,C-IV,September,2012.0,2012.0,2012/13,983.0,1985.0,,0.973,,,0.0545
15 Kern,C-IV,September,2012.0,2012.0,2012/13,58019.0,141067.0,,0.9857,,,0.0317
16 Kings,C-IV,September,2012.0,2012.0,2012/13,9504.0,22575.0,,0.9977,,,0.0545
17 Lake,C-IV,September,2012.0,2012.0,2012/13,5086.0,10125.0,,0.9528,,,0.0545
18 Lassen,C-IV,September,2012.0,2012.0,2012/13,1402.0,2943.0,,0.973,,,0.0545
19 Los Angeles,LRS,September,2012.0,2012.0,2012/13,529333.0,1110832.0,,0.9751,,,0.0369
20 Madera,C-IV,September,2012.0,2012.0,2012/13,10178.0,25929.0,,0.9847,,,0.0545
21 Marin,C-IV,September,2012.0,2012.0,2012/13,5582.0,9472.0,,0.9743,,,0.0545
22 Mariposa,C-IV,September,2012.0,2012.0,2012/13,849.0,1735.0,,0.9111,,,0.0545
23 Mendocino,C-IV,September,2012.0,2012.0,2012/13,7173.0,13532.0,,0.9882,,,0.0545
24 Merced,C-IV,September,2012.0,2012.0,2012/13,21889.0,53436.0,,0.9965,,,0.0195
25 Modoc,C-IV,September,2012.0,2012.0,2012/13,427.0,977.0,,1.0,,,0.0545
26 Mono,C-IV,September,2012.0,2012.0,2012/13,379.0,624.0,,0.9722,,,0.0545
27 Monterey,C-IV,September,2012.0,2012.0,2012/13,18446.0,42071.0,,1.0,,,0.0193
28 Napa,C-IV,September,2012.0,2012.0,2012/13,3371.0,7161.0,,0.9888,,,0.0545
29 Nevada,C-IV,September,2012.0,2012.0,2012/13,3704.0,7139.0,,0.9958,,,0.0545
30 Orange,CalWIN,September,2012.0,2012.0,2012/13,99471.0,222579.0,,0.998,,,0.0185
31 Placer,CalWIN,September,2012.0,2012.0,2012/13,8131.0,17793.0,,0.9881,,,0.0545
32 Plumas,C-IV,September,2012.0,2012.0,2012/13,731.0,1592.0,,1.0,,,0.0545
33 Riverside,C-IV,September,2012.0,2012.0,2012/13,111790.0,273290.0,,0.9999,,,0.0366
34 Sacramento,CalWIN,September,2012.0,2012.0,2012/13,92050.0,207217.0,,0.9871,,,0.0249
35 San Benito,C-IV,September,2012.0,2012.0,2012/13,2604.0,6120.0,,0.9882,,,0.0545
36 San Bernardino,C-IV,September,2012.0,2012.0,2012/13,154161.0,366371.0,,0.9992,,,0.0173
37 San Diego,CalWIN,September,2012.0,2012.0,2012/13,113514.0,251038.0,,0.9788,,,0.0728
38 San Francisco,CalWIN,September,2012.0,2012.0,2012/13,32640.0,50991.0,,0.9839,,,0.0343
39 San Joaquin,C-IV,September,2012.0,2012.0,2012/13,44289.0,108441.0,,0.9852,,,0.0287
